id,title,category,brand,description,rag_context,image_path
B0002LCUZK,Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size,Office Supplies,Amazonbasics,Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size. Category: Office Supplies. Brand: Amazonbasics,Product: Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size | Brand: Amazonbasics | Reviews Summary: [5/5] This folder also expands on the bottom. Will allow A LOT more than when the bottom does not expand. Bought a second. I recommended this to my friends. || [5/5] Exactly what I needed. || [5/5] Nice product. Will work perfectly for my projects. Nice and sturdy. Thank you!,data\images\B0002LCUZK.jpg
B001NIZB5M,Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only,Electronics,Amazon,Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only. Category: Electronics. Brand: Amazon,"Product: Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only | Brand: Amazon | Reviews Summary: [5/5] Since the details for the items are a little sparse I thought I would provide the specs listed on the power adapter.AC Input 100-240 Volts, 0.15 Amps, 50/60 HzDC Output 4.9 Volts, 0.85 AmpsThis adapte || [1/5] I was initially happy that my Kindle replacement charging cord arrived so promptly, it seemed to work fine. But after only one use, the outer covering of the cord started cracking falling off in bits. || [5/5] I bought the Kindle when I was in the USA but on my return to Australia I discovered I left the power adapter behind in my condo in the USA. For some reason Amazon cannot or will not mail a replacemen",data\images\B001NIZB5M.jpg
B005OOKNP4,AmazonBasics Bluetooth Keyboard for Android Devices - Black,Electronics,AmazonBasics,AmazonBasics Bluetooth Keyboard for Android Devices - Black. Category: Electronics. Brand: AmazonBasics,"Product: AmazonBasics Bluetooth Keyboard for Android Devices - Black | Brand: AmazonBasics | Reviews Summary: [4/5] Like a lot of reviewers here, I struggled to find the right Bluetooth keyboard to go with my Kindle Fire HD. In the end, I decided to go with the Amazon one, figuring that because Amazon made the Fire || [4/5] Using this with my Samsung Galaxy Note. Overall works fine, even though I'm on Gingerbread and not 3.0. Slim and lightweight. Pairs instantly. Some specialty keys don't work, but I'm not concerned as  || [5/5] It's a bit smaller than Apple's wireless keyboard but still easy to type on. Comes with 2 AAA batteries. Has a physical on/off switch and also a button to push for paring. Would be great if it came in",data\images\B005OOKNP4.jpg
B006BGZJJ4,Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord,Electronics,Amazon,Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord. Category: Electronics. Brand: Amazon,"Product: Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord | Brand: Amazon | Reviews Summary: [5/5] I wanted a new cord for my kindal and I wanted one like the one that came with my kindal. This was not what was as described. It's not white or anything like the original. It did ship quickly. I seldo || [5/5] Exactly what I needed. Works well. good length cord, good value and got here quickly. || [5/5] Wow! This charger is amazing! It charges like lightning! None of my old chargers can hold a candle to this one. Usually charges within 10 and 30 minutes. Nice length on cord. Quality is outstanding! W",data\images\B006BGZJJ4.jpg
B006GWO7UA,Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries),Electronics,Amazon,Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries). Category: Electronics. Brand: Amazon,"Product: Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries) | Brand: Amazon | Reviews Summary: [5/5] I travel internationally at least once a year and wanted an EASY way to charge my Kindle Fire HD. The design of this system is great. It's one basic plug and cord with changeable heads. It's easy to u || [5/5] Works on my kindle, Samsung Galaxy Note and my IPod Touch!!! Love this multi-funtional charger! I didn't need the international kit but i wasn't sure...maybe on day it will come in handy. || [5/5] I recently went out of the country and took this charging kit with me. Changing the different plugs adapters was extremely easy, and I had no problems with the setup and charging my Kindle. In fact th",data\images\B006GWO7UA.jpg
B006LW0W5Y,AmazonBasics 16-Gauge Speaker Wire - 100 Feet,Electronics,Amazonbasics,AmazonBasics 16-Gauge Speaker Wire - 100 Feet. Category: Electronics. Brand: Amazonbasics,Product: AmazonBasics 16-Gauge Speaker Wire - 100 Feet | Brand: Amazonbasics | Reviews Summary: [5/5] As advised. Came really fast || [5/5] as described. || [5/5] great wires.,data\images\B006LW0W5Y.jpg
B00BGIQS1A,Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable,Electronics,Amazon,Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable. Category: Electronics. Brand: Amazon,Product: Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable | Brand: Amazon | Reviews Summary: [1/5] Is Amazon kidding me They want me to pay 19.99 for an item that is a critical part of the functioning of their product Outrageous. I will find another 5V charger. || [1/5] I bought this thinking that I needed it but I didnt so it was a waste of money. I do so hate to waste money. the Kindle can hook to a regular cell phone charger and it comes with a cable that connects || [1/5] One star because this should've been included when I purchased my Kindles. Bought this second one because I have three paper whites and got tired of playing musical charge chairs. And if Amazon would ,data\images\B00BGIQS1A.jpg
B00DIHVMEA,AmazonBasics Nylon CD/DVD Binder (400 Capacity),Electronics,Amazonbasics,AmazonBasics Nylon CD/DVD Binder (400 Capacity). Category: Electronics. Brand: Amazonbasics,"Product: AmazonBasics Nylon CD/DVD Binder (400 Capacity) | Brand: Amazonbasics | Reviews Summary: [5/5] Great case to keep everything in its place! My husband love it!!!! Holds a lot of cds! || [5/5] After discarding and getting rid of broken cd cases, broken cds, and selecting those ones we really like, this binder turned up to be an excellent option to store our favourite cds and dvds and keep t || [5/5] A few dollars more, but I am boycotting amazon",data\images\B00DIHVMEA.jpg
B00DUGZFWY,AmazonBasics 15.6-Inch Laptop and Tablet Bag,Electronics,Amazonbasics,AmazonBasics 15.6-Inch Laptop and Tablet Bag. Category: Electronics. Brand: Amazonbasics,"Product: AmazonBasics 15.6-Inch Laptop and Tablet Bag | Brand: Amazonbasics | Reviews Summary: [4/5] The larger one was bought for me as part of a Christmas gift...I enjoyed mine so much that I bought this one for a birthday gift.....sturdy, stylish, padded and protects well. Good buy for the price || [4/5] For the price very good value and its lasting well || [5/5] holds everything laptop,amp,mini external memory drive,headphones,3d glasses,tablet cables,and still have 2 extra pockets awesome,well made product. thank you !",data\images\B00DUGZFWY.jpg
B00EEBS9O0,AmazonBasics Backpack for Laptops up to 17-inches,Electronics,Amazonbasics,AmazonBasics Backpack for Laptops up to 17-inches. Category: Electronics. Brand: Amazonbasics,"Product: AmazonBasics Backpack for Laptops up to 17-inches | Brand: Amazonbasics | Reviews Summary: [4/5] This is a very basic, functional backpack that does the job that it when designed for. Unlike other, more expensive models, this one does not have the feel or look of something that you would show off || [5/5] I purchase two of these backpacks for my wife and son's laptops. The case is well constructed and has many compartments. Its a great backpack for the price. || [5/5] Love the backpack....lots of pockets for all my needs...when i travel it fits everything for my travel...makes a lot easier",data\images\B00EEBS9O0.jpg
